prompt,response
PE1: Error while close the project code EHI-000047,"Issue: Error while close the project code EHI-000047, even no PO open in System

Root Cause: Project EHI-000047 have open commitments in CJI5

Resolution: User will get the open commitments closed from Purchase team.

Closure Confirmation:
[13:31] Ukirde, Shubhangi (GE Vernova, consultant)

Can we close incident GEINC14087187 as there is no inconsistency 

[13:31] Panchal, Mahesh (GE Vernova, consultant)

ok

[Category: User Training]
[Category1: Project Closure]
[Category2: Open Commitment]"
Work Order not generated for EE 158036,"Issue : EE 158036 . On GE Internal Services tool, user create the   WO  PowerMax project, The creation /update failed in Power Max per the notification user received.

RCA/Solution : Comparing with the success and failure case payloads which has been received by EV, our internal team has analyzed. 
Stating that failure response Event Failed with error ""Customer P000009659 not created for sales org. 0F71 distribution channel 99

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category [ User Training ]
Category 1 [ Event vision ]
Category 2 [ EV Failed request ]"
PE1: add value column,"Issue : is there any chance to add to VF04 table the value are assigned
to the delivery document and also the profit center.

RCA/Solution : VF04 is the standard TCode, hence we cannot Add new tables like profit center field, as per user confirmation of the closure of ticket we are going ahead and closing the ticket.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category [ User training ]
Category 1 [ How to check ]
Category 2 [ Billing list VA04 ]"
[NSCI] PO Extract,"Actual Issue: PO Extract
Could you please help with the steps to extract the Document PO ? 
I'm able to see the details of the POs but we need to provide the French government, the PO PDF document. 
Thank you for your support
Regards, 
Zineb 

Resolution or Suggested steps: We have guided user on how to generate the PO copies using ME9F transaction. 
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: Output]"
I'm having an issue submitting timesheet in Swisstime: cost center PXAKQ1 can't be used with activity 2ADMI,"Problem Statement : I'm having an issue submitting timesheet in Swisstime: cost center PXAKQ1 can't be used with activity 2ADMI
RCA : We have asked user to reach out to their local finance team to maintain this..
Solution : We have asked user to reach out to their local finance team to maintain this..
		
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816

Category: User Training
Category-1: Transactional Data
Category-2: F110, Payment, Invoice"
PE1: Reuquest for tax code change,"Issue/Request: PE1: Reuquest for tax code change -The VAT of this PO shall be 0.
But tax code cannot be changed mannually.
Please help check and fix it asap.

[Category:User training]
[Category1:Purchase order]
[Category2:Tax change]

Root cause: Valid MWST condition record exists for the PO which automates the TAX.
 
Solution: Suggested user to delete the line item 10and create new line item with required Tax.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Unable to do GR for PO 4102173492,"Actual Issue: PE1: Unable to do GR for PO 4102173492
Hello,

I am unable to do the GR for PO 4102173492, I get the error saying ""No
goods receipt possible for purchase order 4102173492"".
Kindly assist, thanks.

Root Cause: Confirmation control exist

Resolution or Suggested steps: Suggested user to remove the CCK from po line item and retry the GR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Purchase Order]
[Category2: GR]"
"Error message (attach screenshot of the error if there is one, steps that lead to the error): I CANT EXPORT REPORTS FROM PMX TO EXCEL. ITS SHOWING ME ","Issue: Error message (attach screenshot of the error if there is one, steps that lead to the error): I CANT EXPORT REPORTS FROM PMX TO EXCEL. 

Root Cause: User selected incorrect option on export screen.

Resolution: Guided user with required steps

Closure Confirmation:
[14:05] Ukirde, Shubhangi (GE Vernova, consultant)

This is regarding incident GEINC13983246 - CANT EXPORT REPORTS FROM PMX TO EXCEL

[14:06] Ukirde, Shubhangi (GE Vernova, consultant)

Can we have a quick call?

[14:14] Hanan Shalom, Cecilia (GE Vernova, consultant)

HI HOW ARE YOU? THE ISSUE IS SOLVED. I HADE A CHAT AND CONVERSATION WITH GANGARUPU RAJASHEKAR AND HE HELPED ME. THANK YOU

[14:15] Ukirde, Shubhangi (GE Vernova, consultant)

Glad to hear that!

[14:15] Ukirde, Shubhangi (GE Vernova, consultant)

Can we close the incident?

[14:15] Hanan Shalom, Cecilia (GE Vernova, consultant)

YES, PLEASE AND THANKS!! HAVE A NICE DAY

[14:15] Ukirde, Shubhangi (GE Vernova, consultant)

You too, thanks!

[Category: User Training]
[Category1: Report Export]
[Category2: Report]

"
"Please describe your issue. Dear team, Please unlock my SAP account. I received an email, that ticket needs to be raised. Thank you.","Category: User Training 
Category-1:Posting issue
Category-2:Posting issue.

Actual issue : Please describe your issue. Dear team, Please unlock my SAP account. I received an email, that ticket needs to be raised. Thank you.

RCA : User unable to see line items in fbl3n report i have guided user to add layout in report level.

Solution : User unable to see line items in fbl3n report i have guided user to add layout in report level. after adding layout setup user able to see line  items .

Got closure from user via teams chat."
Migration SO MPA0640626 is not set up right. When creating an output down payment invoice is wrong. ,"Issue : Migration SO MPA0640626 is not set up right. When creating an output down payment invoice is wrong. 

RCA/Solution : SO : MPA0640626 milestone billing plan the DP value is incorrect while creating the invoice, Foe now the amount been adjusted manually to create the billing.
This need to check from your internal team with FI/Migration team to find the incorrect values migrated to PMX.

As no action pending from L2 support, with user confirmation on the closure of ticket we are going ahead and closing this ticket.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category	User Training
Category-1	Document Posting
Category-2	Invoice
"
User status NOCB is active (WBS E01-052347-NB000000),"Issue: User status NOCB is active (WBS E01-052347-NB000000)

Root Cause: WBS 'E01-052347-NB000000' is already marked as 'CLSD'. 

Resolution: User can contact '605007518', if user want to reopen this WBS and then revoke NOCB status.

Closer confirmation: 
[Yesterday 13:42] Ukirde, Shubhangi (GE Vernova, consultant)

Since there is no pending action with support team can we close the incident GEINC14058296 ?

[Yesterday 14:09] Dacanay, Orlyne Mhay (FieldCore)

okay thank you

[Category: User Training ]
[Category1: Status update]
[Category2: WBS]"
No accounting document created,"Category:	User Training
Category-1:	Document Posting
Category-2:	Invoice

Actual Issue/Request: User created invoice but no accounting document created, they are having the same issue called external tax system

RCA :  The user is getting error- ""Communication error with external tax system (ZRFC_SABRIX)

Solution : As per the confirmation received from Sabrix team, there was some technical issue due to which you might be getting the error. It is resolved now.  User posted the documents again.

Closure Confirmation: User confirmed for closure, hence INC marked as Resolved.

Requested feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: store location error PO4102418528,"Actual Issue: PE1: store location error PO4102418528
Dear Sir,
When I try to do GR, error occurs with put store location regarding
PO4102418528. Please help to clear this issue.

Root Cause: NA

Resolution or Suggested steps: I have guided user on how to post the GR while removing the errors.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

[Category: User training]
[Category1: Goods Receipt]
[Category2: GR creation]"
[NSCI]Access MIssing to edit - FB03,"Request: We need access to edit the field Additional Data - Reference Key 1 and Reference Key 2. We have that access when the document don't have payment order, however, we need when there is the payment order, to include the bank information on those fields. Could you help us with this access? Please find attached PDF with SU53 and Word with the fields we need access.  

Suggested steps: FB02: not able to get to edit reference Key1 and 2 fields in additional data, not able to modify in FB02, after clearing or payment order.
Resolution: To update/edit reference Key1 and 2 fields, ""Line item not cleared"" need to be deactivated (uncheck) in PE1 system, however this will handled through RFC, suggested user/ business to raise an RFC for below changes, RFC related details provided to business.

Closing the ticket as confirmed by user
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816

Category:Data-Fix
Category-1:Transactional Data
Category-2:F110, Payment, Invoice, …

"
